Comment,Designator,Footprint,LCSC,Quantity
100,R5,R_0402_1005Metric,C25076,1
100nF,"C1,C14,C19,C2,C20,C22,C23,C24,C25,C26,C27,C30,C31,C32,C33,C40,C5",C_0402_1005Metric,C307331,17
10k,"R1,R26,R27,R28,R30,R31,R34,R35,R36,R37,R38,R39,R40,R45",R_0402_1005Metric,C25744,14
10nF,C35,C_0402_1005Metric,C15195,1
10uF,"C29,C34",C_0805_2012Metric,C440198,2
120R,FB2,L_0603_1608Metric,C14709,1
1uF,"C36,C37",C_0402_1005Metric,C52923,2
200,R2,R_0402_1005Metric,C25087,1
20pF,"C38,C39",C_0402_1005Metric,C1554,2
22uF,C21,C_0805_2012Metric,C45783,1
270,R10,R_0402_1005Metric,C2909342,1
2m,"R32,R7",RES-SMD_L6.3-W3.1-1,C695817,2
4.7 nF,C8,C_0402_1005Metric,C1538,1
4.7k,"R29,R33,R41,R42,R43,R44,R6,R8",R_0402_1005Metric,C25900,8
5015,"U1,U2",TEST-SMD_L2.7-W1.0,C2906768,2
60.4,"R3,R4",R_0402_1005Metric,C137954,2
8 MHz,U8,CRYSTAL-SMD_L5.0-W3.2,C115962,1
E80-900M2213S,U14,WIFIM-SMD_22P-L26.0-W16.0-P1.27-TL,C42464134,1
INA226AIDGSR,"U21,U3",MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL,C49851,2
ON_LED,D6,LED_0805_2012Metric,C84256,1
RX_LED,D5,LED_0805_2012Metric,C2297,1
SMA,"U11,U15",SMA-TH_SMA-KWE_C7498154,C7498154,2
STM32L431CCT6,U20,LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL,C486681,1
TCAN3414DR,U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,C22396693,1
TMP112AIDRLR,"U17,U19,U4,U6",SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,C28927,4
TX_LED,D4,LED_0805_2012Metric,C2296,1
W25Q128JVSIQTR,"U12,U13,U16",SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,C97521,3
