Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,97.790004,-67.909977,180.0,top
C14,100nF,C_0402_1005Metric,121.79177,-82.899222,-45.0,top
C19,100nF,C_0402_1005Metric,96.494042,-77.0851,180.0,top
C2,100nF,C_0402_1005Metric,161.425,-72.667525,90.0,top
C20,100nF,C_0402_1005Metric,103.181405,-77.0851,180.0,top
C21,22uF,C_0805_2012Metric,140.8,-97.535,90.0,top
C22,100nF,C_0402_1005Metric,139.048,-97.535,90.0,top
C23,100nF,C_0402_1005Metric,139.048,-103.742927,-90.0,top
C24,100nF,C_0402_1005Metric,109.868768,-77.0851,180.0,top
C25,100nF,C_0402_1005Metric,120.656866,-89.004901,90.0,top
C26,100nF,C_0402_1005Metric,154.65,-89.680028,-90.0,top
C27,100nF,C_0402_1005Metric,146.45,-105.322932,90.0,top
C29,10uF,C_0805_2012Metric,97.790004,-69.829977,180.0,top
C3,22uF,C_0805_2012Metric,159.5,-79.81,90.0,top
C30,100nF,C_0402_1005Metric,125.785509,-78.905483,135.0,top
C31,100nF,C_0402_1005Metric,130.717579,-66.86699,-45.0,top
C32,100nF,C_0402_1005Metric,134.260891,-75.36005,-135.0,top
C33,100nF,C_0402_1005Metric,126.291689,-66.358689,45.0,top
C34,10uF,C_0805_2012Metric,128.75,-63.26,135.0,top
C35,10nF,C_0402_1005Metric,123.300736,-69.349642,45.0,top
C36,1uF,C_0402_1005Metric,120.458167,-72.871034,-45.0,top
C37,1uF,C_0402_1005Metric,118.665651,-71.078518,135.0,top
C38,20pF,C_0402_1005Metric,124.251087,-66.792744,45.0,top
C39,20pF,C_0402_1005Metric,122.868694,-68.175138,-135.0,top
C4,22uF,C_0805_2012Metric,152.95,-79.334962,90.0,top
C40,100nF,C_0402_1005Metric,122.03855,-72.648295,135.0,top
C5,100nF,C_0402_1005Metric,156.024898,-84.958962,180.0,top
C8,4.7 nF,C_0402_1005Metric,101.575,-58.74,-90.0,top
D1,SS14,D_SMA,150.425,-62.36,90.0,top
D2,SS14,D_SMA,154.975,-62.36,90.0,top
D3,SS14,D_SMA,159.525,-62.36,90.0,top
D4,TX_LED,LED_0805_2012Metric,108.4725,-99.16,0.0,top
D5,RX_LED,LED_0805_2012Metric,104.1125,-99.16,0.0,top
D6,ON_LED,LED_0805_2012Metric,99.748,-99.16,0.0,top
FB2,120R,L_0603_1608Metric,118.448216,-73.088469,135.0,top
R1,10k,R_0402_1005Metric,152.825,-71.932543,180.0,top
R10,270,R_0402_1005Metric,99.3205,-97.31,180.0,top
R2,200,R_0402_1005Metric,108.045,-97.31,180.0,top
R26,10k,R_0402_1005Metric,96.464042,-89.484901,0.0,top
R27,10k,R_0402_1005Metric,103.151405,-89.484901,0.0,top
R28,10k,R_0402_1005Metric,140.65,-103.772927,90.0,top
R29,4.7k,R_0402_1005Metric,116.458866,-90.8151,90.0,top
R3,60.4,R_0402_1005Metric,99.69,-58.835,0.0,top
R30,10k,R_0402_1005Metric,109.838768,-89.484901,0.0,top
R31,10k,R_0402_1005Metric,163.25,-90.430028,0.0,top
R32,2m,RES-SMD_L6.3-W3.1-1,150.15,-91.180028,90.0,top
R33,4.7k,R_0402_1005Metric,143.475,-107.76,90.0,top
R34,10k,R_0402_1005Metric,98.244045,-75.0601,-90.0,top
R35,10k,R_0402_1005Metric,100.024047,-89.484901,180.0,top
R36,10k,R_0402_1005Metric,104.931408,-75.0601,-90.0,top
R37,10k,R_0402_1005Metric,106.71141,-89.484901,180.0,top
R38,10k,R_0402_1005Metric,111.618771,-75.0601,-90.0,top
R39,10k,R_0402_1005Metric,113.398773,-89.484901,180.0,top
R4,60.4,R_0402_1005Metric,99.69,-57.66,180.0,top
R40,10k,R_0402_1005Metric,133.224605,-66.849645,-135.0,top
R41,4.7k,R_0402_1005Metric,135.2,-78.51,-135.0,top
R42,4.7k,R_0402_1005Metric,136.0,-79.31,-135.0,top
